Primary Road,Highway
Yio Chu Kang Road,TPE
Yishun Avenue 1,TPE
Ang Mo Kio Avenue 5,TPE
Bukit Timah Road,Central Expressway
Newton Road,Central Expressway
Kampong Bahru Road,Ayer Rajah Expressway
Outram Road,Ayer Rajah Expressway
Keppel Road,Ayer Rajah Expressway
Ang Mo Kio Avenue 3,Seletar Expressway
Mandai Road,Kranji Expressway
Bukit Panjang Road,Kranji Expressway
Jalan Bahar,Kranji Expressway
Upper Bukit Timah Road,Kranji Expressway
Bukit Batok Road,Kranji Expressway
Brickland Road,Kranji Expressway
Tiong Bahru Road,Central Expressway
Lower Delta Road,Central Expressway
Jalan Bukit Merah,Central Expressway
Chin Swee Road,Central Expressway
Scotts Road,Central Expressway
Orchard Road,Central Expressway
Penang Road,Central Expressway
Clemenceau Avenue,Central Expressway
River Valley Road,Central Expressway
NULL,Central Expressway
Serangoon Road,Central Expressway
Grange Road,Central Expressway
Orchard Link,Central Expressway
,Seletar Expressway
Ang Mo Kio Avenue 1,Seletar Expressway
Jalan Toa Payoh,Central Expressway
Tampines Road,Kallang-Paya Lebar Expressway
Upper Serangoon Road,Kallang-Paya Lebar Expressway
Jalan Kebun Limau,Central Expressway
Balestier Road,Central Expressway
Changi Coast Road,East Coast Parkway
Moulmein Road,Central Expressway
Thomson Road,Central Expressway
Havelock Road,Central Expressway
Geylang Road,Kallang-Paya Lebar Expressway
Sims Avenue,Kallang-Paya Lebar Expressway
Aljunied Road,Kallang-Paya Lebar Expressway
Bendemeer Road,Kallang-Paya Lebar Expressway
Paya Lebar Road,Kallang-Paya Lebar Expressway
MacPherson Road,Kallang-Paya Lebar Expressway
Airport Road,Kallang-Paya Lebar Expressway
Bartley Road East,Kallang-Paya Lebar Expressway
Nusajaya Highway,Lebuhraya Hubungan Kedua
Lebuhraya Persisiran Pantai Jb-Nusajaya,Lebuhraya Hubungan Kedua
Neo Tiew Road,Lebuhraya Hubungan Kedua
Lebuhraya Persiaran Pantai Johor Bahru-Nusajaya,Lebuhraya Hubungan Kedua
Lim Chu Kang Road,Lebuhraya Hubungan Kedua
Choa Chu Kang Way,Lebuhraya Hubungan Kedua
Jurong Town Hall Road,Pan-Island Expressway
Pioneer Road North,Pan-Island Expressway
Boon Lay Way,Pan-Island Expressway
Pioneer Road,Pan-Island Expressway
Punggol East,Kallang-Paya Lebar Expressway
Punggol East Flyover,Kallang-Paya Lebar Expressway
Buangkok East Drive,Kallang-Paya Lebar Expressway
Buangkok Flyover,Kallang-Paya Lebar Expressway
Loyang Avenue,Loyang Flyover
Tampines Avenue 9,Tampines Expressway
Pasir Ris Drive 1,Tampines Expressway
Punggol Road,Tampines Expressway
Sengkang East Road,Punggol Bridge
Jalan Eunos,Pan-Island Expressway
Upper Changi Road East,Pan-Island Expressway
Upper Changi Flyover,Tampines Expressway
Pasir Ris Drive 12,Tampines Expressway
Tampines Avenue 10,Tampines Expressway
Lentor Avenue,Seletar Expressway
Upper Thomson Road,Seletar Expressway
Sembawang Road,Seletar Expressway
Woodlands Road,Seletar Expressway
Republic Boulevard,East Coast Parkway
Stamford Road,East Coast Parkway
Fort Road,East Coast Parkway
Raffles Avenue,East Coast Parkway
Penjuru Road,Tebon Flyover
Tanglin Road,Central Expressway
Jalan Ahmad Ibrahim,Ayer Rajah Expressway
Jalan Boon Lay,Ayer Rajah Expressway
Tuas Circus,Benoi Flyover
Pioneer Circus,Ayer Rajah Expressway
Upper Jurong Road,Ayer Rajah Expressway
Dunearn Road,Pan-Island Expressway
Mount Pleasant Road,Pan-Island Expressway
Bukit Batok West Avenue 3,Pan-Island Expressway
Bukit Batok East Avenue 3,Pan-Island Expressway
Kim Keat Flyover,Pan-Island Expressway
Toh Tuck Avenue,Toh Tuck Flyover
Whitley Road,Thomson Flyover
Marymount Road,Pan-Island Expressway
Newton Flyover,Pan-Island Expressway
Jalan Anak Bukit,Pan-Island Expressway
Holland Road,Pan-Island Expressway
Dairy Farm Road,Bukit Timah Expressway
New Upper Changi Road,Pan-Island Expressway
Bedok North Road,Pan-Island Expressway
Paterson Hill,Bt Merah Flyover
Irwell Bank Road,Central Expressway
Newton Circus,Central Expressway
Eunos Link,Kallang-Paya Lebar Expressway
Simei Road,Pan-Island Expressway
Tampines Street 31,Pan-Island Expressway
Tampines Avenue 2,Pan-Island Expressway
Victoria Street,East Coast Parkway
Bras Basah Road,East Coast Parkway
Tampines Avenue 12,Tampines Expressway
Seletar Aerospace Way,Tampines Expressway
Tampines Industrial Avenue 3,Tampines Expressway
Shenton Way,Ayer Rajah Expressway
Anson Road,Ayer Rajah Expressway
Robinson Road,Ayer Rajah Expressway
Hill Street,Ayer Rajah Expressway
Rochor Road,East Coast Parkway
Republic Avenue,East Coast Parkway
Mountbatten Road,East Coast Parkway
Fort Canning Tunnel,East Coast Parkway
Still Road South,East Coast Parkway
Bedok North Flyover,Tampines Expressway
Ang Mo Kio Avenue 6,Seletar Expressway
Yishun Avenue 7,Seletar Expressway
Marymount Lane,Seletar Expressway
Punggol West Flyover,Tampines Expressway
Queensway,Ayer Rajah Expressway
South Buona Vista Road,Ayer Rajah Expressway
Clementi Road,Ayer Rajah Expressway
Buona Vista Flyover,Ayer Rajah Expressway
North Buona Vista Road,Ayer Rajah Expressway
Leng Kee Road,Ayer Rajah Expressway
Alexandra Road,Ayer Rajah Expressway
Henderson Road,Ayer Rajah Expressway
West Coast Road,Ayer Rajah Expressway
Commonwealth Avenue West,Ayer Rajah Expressway
University Flyover,Ayer Rajah Expressway
Ganges Avenue,Central Expressway
Kim Seng Road,Central Expressway
Zion Road,Central Expressway
Woodlands Avenue 3,Bukit Timah Expressway
Turf Club Avenue,Bukit Timah Expressway
Woodland Centre Road,Bukit Timah Expressway
Pandan Circus,Ayer Rajah Expressway
Napier Road,Ayer Rajah Expressway
Changi Road,East Coast Parkway
Tanjong Katong Road,East Coast Parkway
Guillemard Road,East Coast Parkway
Lorong 22 Geylang,East Coast Parkway
Laguna Flyover,East Coast Parkway
Bedok South Road,East Coast Parkway
Bedok South Avenue 1,East Coast Parkway
Still Road,East Coast Parkway
Raffles Boulevard,Marina Coastal Expressway
Collyer Quay,Marina Coastal Expressway
Raffles Quay,Marina Coastal Expressway
Hoot Kiam Road,Ayer Rajah Expressway
Jalan Besar,East Coast Parkway
Crawford Street,East Coast Parkway
Sungei Road,East Coast Parkway
Choa Chu Kang Road,Kranji Expressway
Choa Chu Kang West Flyover,Kranji Expressway
Cross Street,Marina Coastal Expressway
Jalan Gelang Patah-Skudai,Lebuhraya Hubungan Kedua
jalan Senter Utama,Lebuhraya Hubungan Kedua
Bukit Indah Highway,Lebuhraya Hubungan Kedua
Lebuhraya Bukit Indah,Lebuhraya Hubungan Kedua (Laluan Pontianâ€“Taman
Jalan Persiaran Indah Utama,Lebuhraya Hubungan Kedua (Laluan Pontianâ€“Taman
Admiralty Road,Johor Bahru Eastern Dispersal Link Expressway
Riverside Road,Johor Bahru Eastern Dispersal Link Expressway
Johor Bahru Inner Ring Road,Johor Bahru Eastern Dispersal Link Expressway
Jalan Tanjung Puteri,Johor Bahru Eastern Dispersal Link Expressway
Tampines Avenue 1,Pan-Island Expressway
Simei Avenue,Pan-Island Expressway
Mandai Avenue,Seletar Expressway
Xilin Avenue,East Coast Parkway
Bedok South Avenue 2,East Coast Parkway
Selegie Road,East Coast Parkway
Clementi Avenue 6,Ayer Rajah Expressway
Ulu Pandan Road,Ayer Rajah Expressway
Pasir Ris Flyover,Tampines Expressway
West Coast Highway,Ayer Rajah Expressway
Sims Way,East Coast Parkway
Punggol Way,Tampines Expressway
CIQ (Motorcycle),Johor Bahru Eastern Dispersal Link Expressway
Causeway,Johor Bahru Eastern Dispersal Link Expressway
CIQ,Johor Bahru Eastern Dispersal Link Expressway
Tanah Merah Flyover,East Coast Parkway
Mounbatten Road,East Coast Parkway
Tanjong Katong Flyover,East Coast Parkway
CIQ Interchange,Johor Bahru Eastern Dispersal Link Expressway
Kranji Way,Lebuhraya Hubungan Kedua
Rochor Canal Road,Kallang-Paya Lebar Expressway
