shapeid,x,y,name,type
0,103.8284048,1.3068666,Orchard Road,primary
0,103.8287382,1.3067151,Orchard Road,primary
0,103.8299683,1.3060268,Orchard Road,primary
0,103.8301838,1.3059165,Orchard Road,primary
0,103.83054,1.3057306,Orchard Road,primary
0,103.8306117,1.3056965,Orchard Road,primary
0,103.8309107,1.3055543,Orchard Road,primary
0,103.8314528,1.3052415,Orchard Road,primary
0,103.831683,1.3051086,Orchard Road,primary
2,103.8387571,1.3126764,Scotts Road,primary
2,103.83872,1.3126787,Scotts Road,primary
2,103.8386376,1.3126418,Scotts Road,primary
2,103.8385778,1.312612,Scotts Road,primary
2,103.8384921,1.3125554,Scotts Road,primary
2,103.8381945,1.3123506,Scotts Road,primary
2,103.8379495,1.3121827,Scotts Road,primary
2,103.8376984,1.3120151,Scotts Road,primary
2,103.8373307,1.3117594,Scotts Road,primary
2,103.835604,1.3106084,Scotts Road,primary
2,103.8348426,1.3101759,Scotts Road,primary
2,103.8342065,1.3097456,Scotts Road,primary
2,103.8339518,1.3093848,Scotts Road,primary
2,103.8336174,1.3086648,Scotts Road,primary
5,103.8392505,1.3134495,Newton Road,primary
5,103.8394598,1.3135569,Newton Road,primary
5,103.8396179,1.3136597,Newton Road,primary
5,103.8398818,1.3138856,Newton Road,primary
5,103.8400958,1.3140749,Newton Road,primary
5,103.8403773,1.3143204,Newton Road,primary
5,103.8406305,1.3146071,Newton Road,primary
5,103.8408722,1.3150123,Newton Road,primary
5,103.841024,1.3155063,Newton Road,primary
5,103.8411021,1.3158217,Newton Road,primary
5,103.8413771,1.3168921,Newton Road,primary
5,103.8415496,1.3175144,Newton Road,primary
5,103.8415794,1.3176221,Newton Road,primary
5,103.8417021,1.3178974,Newton Road,primary
5,103.8418439,1.3182023,Newton Road,primary
5,103.8420115,1.3183576,Newton Road,primary
5,103.8421872,1.3184891,Newton Road,primary
5,103.8423477,1.3186256,Newton Road,primary
5,103.8427375,1.3189511,Newton Road,primary
7,103.8318305,1.3050277,Patterson Road,primary
7,103.8315539,1.3047018,Patterson Road,primary
